                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.3997,                 1.0493,                 1.4818,                 0.9727,                      1,                  0.995,                0.67724,                 1.0231,                0.78889,                 1.5041,              0.0016304,              0.0016304,              0.0016304
                     58,                 1.3506,                  1.067,                 1.5302,                0.97679,                      1,                  0.995,                0.62397,                0.98953,                0.74448,                 1.4381,              0.0016238,              0.0016238,              0.0016238
                     59,                 1.5361,                 1.0516,                 1.5895,                0.97958,                      1,                  0.995,                 0.7069,                 1.0425,                 0.6823,                 1.4829,              0.0016172,              0.0016172,              0.0016172
                     60,                 1.3007,                 0.8755,                 1.3625,                0.87041,                      1,                0.98167,                0.69523,                 0.9452,                0.63446,                 1.4549,              0.0016106,              0.0016106,              0.0016106
                     61,                 1.3676,                0.92834,                 1.4805,                0.87906,                      1,                0.98167,                0.68284,                 1.0344,                0.69307,                 1.4804,               0.001604,               0.001604,               0.001604
                     62,                 1.2655,                0.91485,                 1.3919,                      1,                0.85604,                  0.971,                0.67749,                 1.0891,                0.79831,                 1.5047,              0.0015974,              0.0015974,              0.0015974
                     63,                 1.4488,                 1.0658,                 1.6056,                      1,                 0.8402,                  0.971,                0.63457,                 1.1378,                0.74614,                 1.5669,              0.0015908,              0.0015908,              0.0015908
                     64,                  1.386,                 1.0038,                 1.4741,                0.83138,                  0.875,                0.93875,                0.62796,                 1.0966,                0.67967,                  1.549,              0.0015842,              0.0015842,              0.0015842
                     65,                 1.2713,                0.95114,                 1.3776,                 0.9839,                  0.875,                  0.971,                0.66756,                 1.0747,                0.71378,                 1.5347,              0.0015776,              0.0015776,              0.0015776
                     66,                 1.3502,                0.98163,                 1.4351,                 0.9753,                  0.875,                0.96227,                0.65759,                 1.0629,                0.68847,                 1.4943,               0.001571,               0.001571,               0.001571
                     67,                 1.3943,                 1.0156,                 1.5813,                0.87283,                      1,                0.98167,                 0.6966,                 1.0458,                0.70813,                 1.4431,              0.0015644,              0.0015644,              0.0015644
                     68,                 1.2856,                 1.0134,                 1.4145,                      1,                0.98249,                  0.995,                0.68852,                 1.0729,                0.63684,                 1.4748,              0.0015578,              0.0015578,              0.0015578
                     69,                 1.2879,                0.91427,                 1.4558,                0.87538,                      1,                0.98167,                0.67868,                 1.1159,                0.62201,                 1.5024,              0.0015512,              0.0015512,              0.0015512
                     70,                 1.2676,                0.89345,                  1.399,                0.97614,                      1,                  0.995,                0.66975,                 1.0652,                0.70753,                 1.4305,              0.0015446,              0.0015446,              0.0015446
                     71,                 1.1907,                0.87666,                 1.4197,                0.98427,                      1,                  0.995,                0.76357,                0.91419,                0.73288,                 1.3699,               0.001538,               0.001538,               0.001538
                     72,                  1.352,                0.94967,                 1.5178,                0.98327,                      1,                  0.995,                0.73949,                0.92894,                0.70315,                 1.3635,              0.0015314,              0.0015314,              0.0015314
                     73,                  1.149,                0.82404,                 1.2946,                0.98819,                      1,                  0.995,                0.72097,                0.91878,                0.66675,                 1.3584,              0.0015248,              0.0015248,              0.0015248
                     74,                  1.279,                0.85466,                 1.4118,                      1,                0.98651,                  0.995,                0.71536,                  0.989,                0.62928,                 1.4078,              0.0015182,              0.0015182,              0.0015182
                     75,                 1.2529,                0.83863,                 1.4241,                 0.9942,                      1,                  0.995,                0.72972,                0.91074,                0.58396,                  1.372,              0.0015116,              0.0015116,              0.0015116
                     76,                 1.2702,                0.87213,                  1.393,                0.99806,                      1,                  0.995,                0.69336,                0.98876,                0.62596,                 1.3885,               0.001505,               0.001505,               0.001505
                     77,                 1.3669,                0.89734,                 1.4892,                0.99978,                      1,                  0.995,                0.66737,                 1.0231,                0.64741,                 1.4185,              0.0014984,              0.0014984,              0.0014984
                     78,                 1.3467,                0.92304,                  1.432,                  0.999,                      1,                  0.995,                0.70249,                0.90025,                0.59696,                 1.3842,              0.0014918,              0.0014918,              0.0014918
                     79,                  1.242,                0.84193,                 1.3531,                0.99637,                      1,                  0.995,                0.66779,                0.92594,                0.65633,                 1.4052,              0.0014852,              0.0014852,              0.0014852
                     80,                 1.1997,                0.78635,                 1.3988,                0.99784,                      1,                  0.995,                0.69949,                0.97567,                0.64059,                 1.3993,              0.0014786,              0.0014786,              0.0014786
                     81,                 1.1523,                0.87962,                 1.4036,                0.99393,                      1,                  0.995,                0.74493,                0.93915,                0.62464,                 1.4074,               0.001472,               0.001472,               0.001472
                     82,                 1.1808,                0.77135,                 1.3047,                0.99126,                      1,                  0.995,                0.74577,                 0.9505,                0.63149,                 1.4494,              0.0014654,              0.0014654,              0.0014654
                     83,                 1.2018,                0.82805,                 1.3708,                0.99011,                      1,                  0.995,                0.79497,                0.81792,                0.56065,                 1.3412,              0.0014588,              0.0014588,              0.0014588
                     84,                 1.1871,                0.75764,                 1.3294,                      1,                0.98575,                  0.995,                0.74208,                  1.105,                0.61818,                 1.4587,              0.0014522,              0.0014522,              0.0014522
                     85,                 1.1907,                0.86396,                 1.3905,                 0.9949,                      1,                  0.995,                0.76117,                 1.0307,                0.63534,                 1.4245,              0.0014456,              0.0014456,              0.0014456
                     86,                 1.1731,                 0.8596,                 1.3944,                0.99529,                      1,                  0.995,                 0.8471,                0.71733,                0.56131,                 1.2859,               0.001439,               0.001439,               0.001439
                     87,                 1.2577,                0.88097,                 1.5198,                0.98872,                      1,                  0.995,                0.74385,                0.85528,                0.60127,                 1.3596,              0.0014324,              0.0014324,              0.0014324
                     88,                  1.116,                0.79446,                 1.3018,                0.98678,                      1,                  0.995,                0.78216,                0.81682,                0.60388,                   1.33,              0.0014258,              0.0014258,              0.0014258
                     89,                 1.1157,                0.77326,                 1.3244,                0.98724,                      1,                  0.995,                0.74052,                0.76074,                0.63413,                 1.3041,              0.0014192,              0.0014192,              0.0014192
                     90,                 1.1081,                0.81149,                  1.355,                  0.988,                      1,                  0.995,                0.75655,                0.82161,                 0.6496,                 1.3265,              0.0014126,              0.0014126,              0.0014126
                     91,                 1.0323,                0.72846,                 1.2644,                0.98385,                      1,                  0.995,                0.68566,                0.91867,                0.57064,                 1.3573,               0.001406,               0.001406,               0.001406
                     92,                 1.0668,                0.78507,                 1.3252,                0.98885,                      1,                  0.995,                0.72845,                0.91563,                 0.5693,                 1.3761,              0.0013994,              0.0013994,              0.0013994
                     93,                 1.1732,                0.82221,                 1.3322,                0.98636,                      1,                  0.995,                0.74545,                 0.8277,                0.55896,                 1.3166,              0.0013928,              0.0013928,              0.0013928
                     94,                 1.0225,                0.69171,                 1.2258,                 0.9849,                      1,                  0.995,                0.79637,                0.83028,                0.58057,                 1.3138,              0.0013862,              0.0013862,              0.0013862
                     95,                  1.068,                0.71952,                 1.3142,                0.98383,                      1,                  0.995,                0.70699,                0.95816,                0.55076,                 1.3265,              0.0013796,              0.0013796,              0.0013796
                     96,                 1.0726,                0.75276,                 1.3058,                 0.9909,                      1,                  0.995,                0.67313,                0.98156,                0.58447,                 1.3348,               0.001373,               0.001373,               0.001373
                     97,                 1.1217,                0.78519,                 1.2753,                 0.9903,                      1,                  0.995,                0.69708,                0.83314,                0.58953,                  1.292,              0.0013664,              0.0013664,              0.0013664
                     98,                 1.1246,                0.80057,                 1.3408,                0.98718,                      1,                  0.995,                0.77198,                0.76993,                0.55889,                 1.2613,              0.0013598,              0.0013598,              0.0013598
                     99,                 1.1997,                0.79575,                 1.3739,                0.98498,                      1,                  0.995,                 0.7693,                0.77312,                0.55537,                 1.2542,              0.0013532,              0.0013532,              0.0013532
                    100,                 1.1013,                0.76324,                 1.2623,                0.99017,                      1,                  0.995,                0.75636,                0.85932,                0.53401,                 1.2731,              0.0013466,              0.0013466,              0.0013466
                    101,                 1.1432,                0.73238,                 1.3472,                0.99496,                      1,                  0.995,                0.74098,                0.93176,                0.56164,                 1.3487,                0.00134,                0.00134,                0.00134
                    102,                 1.1334,                0.75101,                 1.3209,                0.99885,                      1,                  0.995,                0.67576,                 1.0052,                0.59357,                 1.4601,              0.0013334,              0.0013334,              0.0013334
                    103,                 1.0411,                0.72973,                 1.2411,                0.99555,                      1,                  0.995,                0.69943,                0.95395,                0.64288,                 1.3566,              0.0013268,              0.0013268,              0.0013268
                    104,                 1.0822,                 0.7598,                 1.3118,                0.99307,                      1,                  0.995,                0.74754,                0.90378,                0.60467,                 1.3327,              0.0013202,              0.0013202,              0.0013202
                    105,                 1.1105,                 0.7668,                 1.2808,                0.99174,                      1,                  0.995,                0.77813,                0.80361,                0.54608,                  1.239,              0.0013136,              0.0013136,              0.0013136
                    106,                 1.0327,                0.74888,                 1.2837,                0.98752,                      1,                  0.995,                0.77042,                 0.7735,                0.51497,                 1.2134,               0.001307,               0.001307,               0.001307
                    107,                 1.1029,                0.75369,                 1.3985,                0.98286,                      1,                  0.995,                0.77099,                0.83829,                0.52371,                 1.2577,              0.0013004,              0.0013004,              0.0013004
                    108,                 1.1063,                0.75022,                 1.3888,                      1,                0.97885,                  0.995,                0.74201,                0.88106,                0.50957,                 1.2783,              0.0012938,              0.0012938,              0.0012938
                    109,                0.99312,                0.65794,                  1.229,                0.99654,                      1,                  0.995,                0.70233,                0.93188,                0.52096,                 1.3507,              0.0012872,              0.0012872,              0.0012872
                    110,                 1.1895,                0.76951,                  1.339,                      1,                0.99838,                  0.995,                0.71148,                0.95453,                0.51141,                 1.3945,              0.0012806,              0.0012806,              0.0012806
                    111,                 1.0807,                0.76839,                  1.299,                0.99449,                      1,                  0.995,                0.77609,                0.75208,                 0.5281,                 1.2085,               0.001274,               0.001274,               0.001274
                    112,                 1.0931,                0.70846,                 1.3357,                 0.9907,                      1,                  0.995,                0.73571,                0.94996,                 0.5224,                 1.2694,              0.0012674,              0.0012674,              0.0012674
                    113,                 1.0858,                0.70234,                 1.3482,                0.98623,                      1,                  0.995,                0.66715,                 1.1509,                0.58791,                 1.3648,              0.0012608,              0.0012608,              0.0012608
                    114,                  1.071,                0.68947,                 1.2708,                0.99023,                      1,                  0.995,                0.70956,                0.81251,                0.50131,                 1.2194,              0.0012542,              0.0012542,              0.0012542
                    115,                 1.0753,                 0.6857,                 1.2675,                0.98841,                      1,                  0.995,                0.73369,                0.89984,                0.59838,                 1.3251,              0.0012476,              0.0012476,              0.0012476
                    116,                 1.0405,                 0.7251,                  1.336,                0.99362,                      1,                  0.995,                 0.7413,                0.95602,                0.67931,                 1.3942,               0.001241,               0.001241,               0.001241
                    117,                0.99163,                0.78346,                 1.2871,                 0.9952,                      1,                  0.995,                0.74433,                 0.8116,                 0.4995,                 1.2735,              0.0012344,              0.0012344,              0.0012344
                    118,                 1.0267,                0.71196,                 1.2448,                0.99156,                      1,                  0.995,                0.75999,                0.81864,                0.53206,                 1.2615,              0.0012278,              0.0012278,              0.0012278
                    119,                 1.0665,                0.79622,                 1.2597,                0.99044,                      1,                  0.995,                 0.7571,                0.72859,                 0.5244,                  1.222,              0.0012212,              0.0012212,              0.0012212
                    120,                 1.0534,                0.70843,                 1.2125,                0.99148,                      1,                  0.995,                0.76972,                0.71779,                0.55188,                 1.2142,              0.0012146,              0.0012146,              0.0012146
                    121,                 1.0111,                0.68469,                 1.2481,                0.99075,                      1,                  0.995,                0.72034,                0.85298,                0.52197,                 1.2401,               0.001208,               0.001208,               0.001208
                    122,                0.94385,                 0.6619,                 1.2218,                0.99054,                      1,                  0.995,                 0.7524,                0.84259,                0.51575,                 1.2239,              0.0012014,              0.0012014,              0.0012014
                    123,                0.97916,                0.68408,                 1.2155,                0.98869,                      1,                  0.995,                0.81149,                 0.7459,                0.51012,                 1.1896,              0.0011948,              0.0011948,              0.0011948
                    124,                 1.0637,                 0.7005,                  1.251,                0.98572,                      1,                  0.995,                0.77635,                0.75695,                0.51805,                 1.2254,              0.0011882,              0.0011882,              0.0011882
                    125,                 1.0195,                0.68949,                 1.2856,                0.99109,                      1,                  0.995,                0.78043,                0.77696,                0.52506,                 1.1976,              0.0011816,              0.0011816,              0.0011816
                    126,                 1.0492,                0.73401,                 1.3043,                0.99128,                      1,                  0.995,                0.78592,                0.66089,                0.49838,                 1.1431,               0.001175,               0.001175,               0.001175
                    127,                0.88555,                0.61073,                  1.127,                 0.9916,                      1,                  0.995,                0.81485,                0.62721,                0.53102,                 1.1299,              0.0011684,              0.0011684,              0.0011684
                    128,                0.98306,                0.69916,                 1.2144,                0.99297,                      1,                  0.995,                0.83563,                0.66252,                0.51413,                 1.1286,              0.0011618,              0.0011618,              0.0011618
                    129,                0.99048,                0.65024,                 1.2347,                0.99388,                      1,                  0.995,                0.79522,                0.73679,                0.55832,                 1.1556,              0.0011552,              0.0011552,              0.0011552
                    130,                0.92993,                0.61794,                 1.1526,                0.99364,                      1,                  0.995,                0.77604,                0.74275,                0.52453,                 1.1607,              0.0011486,              0.0011486,              0.0011486
                    131,                0.96183,                0.61165,                 1.1803,                0.98746,                      1,                  0.995,                0.78024,                0.70694,                0.47103,                 1.1545,               0.001142,               0.001142,               0.001142
                    132,                0.93248,                0.62302,                 1.2492,                 0.9924,                      1,                  0.995,                0.77225,                0.77014,                0.47174,                 1.1462,              0.0011354,              0.0011354,              0.0011354
                    133,                0.92839,                0.62999,                 1.1617,                0.99305,                      1,                  0.995,                0.73233,                0.93912,                0.52685,                  1.259,              0.0011288,              0.0011288,              0.0011288
                    134,                0.97963,                  0.694,                 1.2942,                0.99271,                      1,                  0.995,                0.78849,                 0.7813,                0.53308,                 1.1729,              0.0011222,              0.0011222,              0.0011222
                    135,                 1.0191,                0.74907,                 1.3258,                0.98933,                      1,                  0.995,                0.78703,                0.75436,                0.50496,                 1.1818,              0.0011156,              0.0011156,              0.0011156
                    136,                0.96918,                0.62858,                 1.2878,                0.98945,                      1,                  0.995,                0.82098,                0.72065,                0.52263,                   1.15,               0.001109,               0.001109,               0.001109
                    137,                0.98733,                0.70187,                 1.2577,                0.99117,                      1,                  0.995,                0.79909,                  0.741,                0.53935,                 1.1662,              0.0011024,              0.0011024,              0.0011024
                    138,                0.95158,                0.75612,                 1.1878,                0.99239,                      1,                  0.995,                 0.8128,                0.70476,                0.50221,                 1.1612,              0.0010958,              0.0010958,              0.0010958
                    139,                0.89261,                0.61716,                 1.1515,                 0.9912,                      1,                  0.995,                0.83217,                0.62985,                0.48132,                  1.163,              0.0010892,              0.0010892,              0.0010892
                    140,                0.97246,                0.68315,                 1.2036,                0.99032,                      1,                  0.995,                0.82433,                0.63378,                0.45426,                 1.1666,              0.0010826,              0.0010826,              0.0010826
                    141,                 0.9368,                0.72533,                 1.2212,                0.98906,                      1,                  0.995,                0.82934,                0.65089,                0.44669,                 1.1689,               0.001076,               0.001076,               0.001076
                    142,                0.92996,                  0.701,                 1.2195,                0.98206,                      1,                  0.995,                 0.7717,                0.73201,                0.45796,                 1.1865,              0.0010694,              0.0010694,              0.0010694
                    143,                 1.0111,                0.67128,                 1.1802,                0.98412,                      1,                  0.995,                0.75573,                0.74743,                 0.4771,                 1.1872,              0.0010628,              0.0010628,              0.0010628
                    144,                0.95913,                0.63685,                 1.1942,                  0.987,                      1,                  0.995,                 0.8002,                0.67531,                0.46328,                  1.156,              0.0010562,              0.0010562,              0.0010562
